Abbreviation/Shorthand,Meaning
V/Q,ventilation/perfusion
VA,ventricular arrhythmia
VA,visual acuity
VA,vertebral artery
VAC,vacuum-assisted closure
VAP,ventilator-associated pneumonia
VAS,Visual Analogue Scale
VATS,Video Assisted Thoracoscopy
VB-MAPP,Verbal Behavior Milestones Assessment and Placement Program
VBAC,vaginal birth after a previous cesarean delivery
VBG,venous blood gas
VC,vital capacity
VCD,vascular closure device
VD,vascular dementia
VD,venereal disease
VDRF,ventilator-dependent respiratory failure
VDRL,Venereal Disease Research Laboratory (serological test for syphilis)
VDZ,vedolizumab
VED,Vascular Ehlerse-Danlos Syndrome
VEEG,video EEG
VEGF,vascular endothelial growth factor
VEO-IBD,Very Early Onset Inflammatory Bowel Disease
VF,visual field
VF,ventricular fibrillation
VHL,von Hippel-Lindau syndrome
VIDISCA,Virus-Discovery-cDNA-AFLP
VMAT,volume modulated arc therapy
VMAT2,vesicular monoamine transporter
VOC,vasoocclusive crisis
VOGM,Vein of Galen malformation
VP,Ventriculo-Peritoneal
VPC,ventricular premature complexes
VRAS,Virginia Radiosurgery AVM Scale
VS,Vertiflex Superion
VS,Vertiflex Superion
VS,vascular surgery
VS,vital signs
VSD,ventricular septal defect
VSS,Venous Sinus Stenting
VSS,vital signs stable
VT,vest therapy
VT,ventricular tachycardia
VTE,venous thromboembolism
VVC,vulvovaginal candidiasis
VVI,"ventricle paced, ventricle sensed, pacing is inhibited if beat is sensed"
VWF,von Willebrand factor
VWF:Ag,von Willebrand antigen
VWF:CB,von Willebrand collagen binding
VWF:RCo,von Willebrand factor ristocetin cofactor
VZV,Varicella-Zoster Virus
w/u,workup
WB,weight bearing
WBAT,weight bearing as tolerated
WBC,white blood cells
WBC,white blood count
WBRT,whole-brain radiation therapy
WC,wheelchair
WCD,wearable cardioverter defibrillator
WDS,Word Discrimination Score
WES,Whole Exome Sequencing
WGS,whole genome sequencing
WHO,World Health Organization
WMA,wall motion abnormality
WNL,within normal limits
WPW,Wolff-Parkinson-White
Wt,weight
XDR,extensively drug-resistant
XDR-TB,extensively drug-resistant tuberculosis
XLA,X-linked agammaglobulinaemia
XLT,extended length tracheostomy tubes
XRT,radiotherapy
YBOCS,Yale Brown Obsessive Compulsive Scale
yo,year-old/years old
Zn,zinc
